CHECK_ID,CHECK_TITLE,SERVICE_NAME,SEVERITY,STATUS_EXTENDED,REGION,REMEDIATION_RECOMMENDATION_TEXT
cloudtrail_multi_region_enabled,Region has at least one CloudTrail trail logging,cloudtrail,high,No CloudTrail trails enabled with logging were found.,ap-northeast-1,"Use a **multi-region CloudTrail trail** or per-region trails so `logging` is active in every region, including unused ones.

Centralize logs, enforce **least privilege** to log stores, and add **defense-in-depth** with encryption, integrity validation, and retention. Continuously monitor trail health to catch gaps."
iam_aws_attached_policy_no_administrative_privileges,Attached AWS-managed IAM policy does not allow '*:*' administrative privileges,iam,critical,AWS policy AdministratorAccess is attached and allows '*:*' administrative privileges.,ap-south-1,"Apply **least privilege**: avoid attaching AWS-managed policies that grant `*:*`.
- Use **customer-managed, scoped policies** per role
- Enforce **separation of duties** and **permissions boundaries**
- Prefer **temporary, time-bound elevation** for emergencies with MFA
- Regularly review access and use conditions to constrain context"
iam_root_hardware_mfa_enabled,Root account has a hardware MFA device enabled,iam,critical,MFA is not enabled for root account.,ap-south-1,"Require a **hardware MFA token** for the root user and remove any virtual MFA. Apply **least privilege**: avoid using root, disable access keys, and eliminate long-term credentials. In organizations, **centralize root management**. Keep a controlled break-glass process with strict recovery checks and continuous monitoring."
iam_root_mfa_enabled,Root account has MFA enabled,iam,critical,MFA is not enabled for root account.,ap-south-1,"Enable **MFA** for the root user, preferably **hardware-based** or a dedicated, managed device. Remove root access keys and avoid using root for daily tasks. Apply **least privilege** with IAM Identity Center for admins, and use Organizations to **centralize root access** and eliminate long-lived root credentials."
iam_user_administrator_access_policy,IAM user does not have AdministratorAccess policy attached,iam,critical,IAM User prowler-audit-user has AdministratorAccess policy attached.,ap-south-1,"Remove direct `AdministratorAccess` from users.
- Apply **least privilege** with scoped policies
- Use **federation** and **roles** for temporary admin access
- Enforce **separation of duties** and approvals
- Add guardrails (SCPs, permissions boundaries)
- Require **MFA** and rotate any remaining long-lived credentials"
iam_user_hardware_mfa_enabled,IAM user has hardware MFA enabled,iam,high,User prowler-audit-user does not have any type of MFA enabled.,ap-south-1,"Require **hardware-backed MFA** for all IAM users. Prefer **FIDO2 security keys** for phishing resistance over TOTP or SMS. Disallow SMS/virtual MFA for privileged roles. Enforce MFA for all access paths, apply **least privilege**, and provision multiple MFA devices per user for continuity."
iam_user_with_temporary_credentials,IAM user does not use long-lived credentials to access services other than IAM or STS,iam,high,User prowler-audit-user has long lived credentials with access to other services than IAM or STS.,ap-south-1,"Adopt **temporary credentials** via IAM roles and federation for humans and workloads. Remove or restrict long-term keys; *if unavoidable*, apply **least privilege**, require **MFA**, rotate aggressively, and monitor usage. Prefer short session durations and session conditions to limit blast radius."
organizations_scp_check_deny_regions,AWS Organization restricts operations to only the configured AWS Regions with SCP policies,organizations,high,AWS Organizations is not in-use for this AWS Account.,ap-south-1,"Enforce Region governance with **SCPs** that allow only approved regions via `aws:RequestedRegion` conditions (deny-by-default).

Apply across relevant OUs and accounts, with narrow exceptions for required global services. Review often; align to least privilege, data residency, and continuous monitoring."
s3_account_level_public_access_blocks,S3 account-level Block Public Access ignores public ACLs and restricts public buckets,s3,high,Block Public Access is not configured for the account 112920804082.,ap-south-1,"Turn on account-level **Block Public Access** (prefer enabling all four: `block_public_acls`, `ignore_public_acls`, `block_public_policy`, `restrict_public_buckets`) to enforce least privilege. For legitimate access, use private buckets with **CloudFront**, VPC endpoints, or presigned URLs. Regularly review policies with IAM Access Analyzer."
s3_bucket_level_public_access_block,S3 bucket has Block Public Access with IgnorePublicAcls and RestrictPublicBuckets enabled at bucket or account level,s3,high,Block Public Access is not configured for the S3 Bucket prowler-test-bucket-2601.,ap-south-1,"Enable **Block Public Access** at account and bucket levels with `block_public_acls`, `ignore_public_acls`, `block_public_policy`, and `restrict_public_buckets` set to `true`. Apply **least privilege** and **defense in depth**. *If public access is required*, narrowly scope policies to fixed principals and conditions."
